"name","logo","homepage_url","crunchbase"
"ELAAD","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/elaad.svg","https://elaad.nl/",""
"Friedrich-Alexander-University (FAU)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/friedrich-alexander-universityfau.svg","https://fau.de/",""
"Statnett","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/statnett.svg","https://statnett.no/",""
